id,section,chapter,recipe_group,recipe,description,difficulty,packages,data
1,Appetizers,Accessing Packages,Installing Packages,Install a single package,Method to install a single package in R,0,,
2,Appetizers,Accessing Packages,Installing Packages,Install multiple packages,Method to install multiple packages in R,0,,
3,Appetizers,Accessing Packages,Loading Packages,Load a single package,Method to load and gain access to the functionality of a package in R,0,,
4,Appetizers,Creating Objects,Variables,Create a character variable,Create a variable object in memory for a specific character value,0,,
5,Appetizers,Creating Objects,Variables,Create a numeric variable,Create a variable object in memory for a specific number value,0,,
6,Appetizers,Creating Objects,Variables,Create a variable from an equation,Create a variable object in memory for a specific mathematical equation,0,,
7,Appetizers,Creating Objects,Variables,Create a variable from combining variables,Create a variable object in memory by combining two variable objects together,0,,
8,Appetizers,Creating Objects,Variables,Create a variable from a function,Create a variable object in memory from the output from the system date function,0,,
9,Appetizers,Creating Objects,Vectors,Create a character vector,Create a vector object in memory that has multiple character values,0,,
10,Appetizers,Creating Objects,Vectors,Create a numeric vector,Create a vector object in memory that has multiple numeric values,0,,
11,Appetizers,Creating Objects,Dataframe,Create dataframe with multiple character columns,Create a dataframe object in memory that has multiple character columns,0,,
12,Appetizers,Creating Objects,Dataframe,Create dataframe with multiple numeric columns,Create a dataframe object in memory that has multiple numeric columns,0,,
13,Appetizers,Creating Objects,Dataframe,Create dataframe with multiple character and numeric columns,Create a dataframe object in memory that has multiple character and numeric columns,0,,
14,Appetizers,Preview Data,Data Structure,Preview the structure of a dataframe,Method to inspect the data structure and elements of a dataframe,0,readr,sample.csv
15,Appetizers,Preview Data,View Portion of Data,Preview a subset of rows in a dataframe,Method to visually inspect the first few rows of a dataframe,0,readr,sample.csv
16,Appetizers,Preview Data,View Portion of Data,Preview a specified number of rows to subset in a dataframe,Method to visually inspect a specific number of rows of a dataframe,0,readr,sample.csv
17,Appetizers,Preview Data,View All Data,Preview all rows of a dataframe,Method to visually inspect all rows of a dataframe,0,readr,sample.csv
18,Appetizers,Preview Data,View All Data,Preview all rows of a dataframe within a viewer,Method to visually inspect all rows and columns of a dataframe in a sortable viewer,0,readr,sample.csv
19,Appetizers,Importing Data,CSV Files,Import csv file on macOS,Basic method for reading a csv file on a macOS computer,1,readr,sample.csv
20,Appetizers,Importing Data,CSV Files,Import csv file on Linux,Basic method for reading a csv file on a Linux computer,1,readr,sample.csv
21,Appetizers,Importing Data,CSV Files,Import csv file on Windows,Basic method for reading a csv file on a Windows computer,1,readr,sample.csv
22,Appetizers,Importing Data,CSV Files,Import csv file from GitHub,Basic method for reading a csv file stored in a GitHub repository,1,readr,sample.csv
23,Appetizers,Importing Data,CSV Files,Skip rows on csv import,Skip a number of rows when reading a csv file,1,readr,sample.csv
24,Appetizers,Importing Data,CSV Files,Skip blank rows on csv import,Skip all rows that are blank when reading a csv file,1,readr,sample.csv
25,Appetizers,Importing Data,CSV Files,Read number of rows on csv import,Read a specific number of rows when reading a csv file,1,readr,sample.csv
26,Appetizers,Importing Data,CSV Files,Read specific columns on csv import,Read a specific columns when reading a csv file,1,readr,sample.csv
27,Appetizers,Importing Data,Excel Files,Import excel file,Basic method for reading an excel file,1,readxl,sample.xlsx
28,Appetizers,Importing Data,Excel Files,Skip rows on excel import,Skip rows when reading excel files,1,readxl,sample.xlsx
